courseCode,courseName
CS4476,Intro to Computer Vision
CS4480,Digital Video Special FX
CS4495,Computer Vision
CS4496,Computer Animation
CS4510,Automata and Complexity
CS4520,Approximation Algs
CS4530,Randomized Algs
CS4540,Advanced Algs
CS4550,Scientific Visualization
CS4560,Verification of Systems
CS4590,Computer Audio
CS4605,Mobile&Ubiquitous Comp
CS4611,AI Problem Solving
CS4613,Knowledge Systems Engr
CS4615,Knowledge-Based Modl&Dgn
CS4616,Pattern Recognition
CS4622,Case-Based Reasoning
CS4625,Intel & Interactive Sys
CS4632,Adv Intelligent Robotics
CS4635,Knowledge-Based AI
CS4641,Machine Learning
CS4646,Mach Learn for Trading
CS4649,Robot Intelli Planning
CS4650,Natural Language
CS4660,Educational Technology
CS4665,Educ Tech: Dsgn & Eval
CS4670,CSCL
CS4675,Internet Sys & Services
CS4685,Pervasive Sys Networking
CS4690,Empirical Methods in HCI
CS4698,Research Assistantship
CS4699,Undergraduate Research
CS4710,CS for Bioinformatics
CS4725,Info Security Policies
CS4726,Privacy Tech Policy Law
CS4731,Game AI
CS4741,Int Mgt Dev - Proj Prep
CS4742,Comp & Mgt Cap Proj
CS4745,Info&Com Tech&Global Dev
CS4752,Phil Issues-Computation
CS4770,Mixed Reality Design
CS4791,Integrative Proj-Cog Sci
CS4792,Dsgn Proj-Cognitive Sci
CS4793,Perspectives-Cog Science
CS4801,Special Topics
CS4802,Special Topics
CS4803,Special Topics
CS4804,Special Topics
CS4805,Special Topics
CS4853,Special Topics
CS4893,Special Topics
CS4901,Spec Prob-Computer Sci
CS4902,Spec Prob-Computer Sci
CS4903,Spec Prob-Computer Sci
CS4911,Design Capstone Project
CS4912,Design Capstone Project
CS4980,Research Capstone Proj
CS4XXX,Computer Sci Elective
CS6010,Principles of Design
CS6035,Intro To Info Security
CS6150,Computing For Good
CS6200,Graduate Intro to OS
CS6210,Adv Operating Systems
CS6220,Big Data Sys & Analytics
CS6230,High Perf Parallel Comp
CS6235,Real-Time Systems
CS6238,Secure Computer Systems
CS6241,Compiler Design
CS6245,Parallelizing Compilers
CS6246,Object-Oriented Systems
CS6250,Computer Networks
CS6255,Network Management
CS6260,Applied Cryptography
CS6262,Network Security
CS6263,Intro Cyber Phys Sys Sec
CS6265,Information Security Lab
CS6266,Info Security Practicum
CS6269,Formal Info Assur Model
CS6280,Eval Communication Nets
CS6290,High Perform Comput Arch
CS6291,Embedded Software Opt
CS6300,Software Dev Process
CS6301,Adv Software Engineering
CS6310,Software Arch & Design
CS6320,Requirements Analysis
CS6330,Software Generation&Test
CS6340,Software Analysis & Test
CS6365,Intro Enterprise Comput
CS6390,Programming Languages
CS6400,DB Sys Concepts& Design
CS6402,Databases and Infosec
CS6411,O-O Database Model & Sys
CS6421,"Tempor,Spatial&Active DB"
CS6422,Database System Implemnt
CS6430,Parallel&Distributed DB
CS6440,Intro Health Informatics
CS6451,Human-Centered Computing
CS6452,Prototyping Interact Sys
CS6455,User Interface Dsgn&Eval
CS6456,Principles-UI Software
CS6457,Video Game Design
CS6460,Educ Tech-Foundations
CS6461,Computing Ed Research
CS6465,Computational Journalism
CS6470,Online Communities
CS6471,Comp Social Science
CS6474,Social Computing
CS6475,Comp
CS6476,Computer Vision
CS6480,Comp Visualiz Techniques
CS6485,Visual Meth-Sci & Engr
CS6491,Computer Graphics
CS6505,Computability&Algorithms
CS6520,Computational Complexity
CS6550,Design& Analy-Algorithms
CS6601,Artificial Intelligence
CS6670,Distrib Cntrl Algorithms
CS6675,Advance Internet Comput
CS6705,Applications of AI
CS6725,Info Security Policies
CS6726,Privacy Tech Policy Law
CS6745,Info&Com Tech&Global Dev
CS6750,Human-Computer Interact
CS6753,HCI Prof Prep & Practice
CS6754,Engr Database Mgt System
CS6755,HCI Foundations
CS6763,Design of Environments
CS6764,Geometric Modeling
CS6770,Mixed Reality Design
CS6780,Medical Image Processing
CS6795,Intro-Cognitive Science
CS6998,HCI Master's Project
CS6999,Master's Project
CS6XXX,Computer Sci Elective
CS7000,Master's Thesis
CS7001,Grad Studies-Computing
CS7110,Parallel Computer Arch
CS7210,Distributed Computing
CS7230,"Software Dsgn,Impl& Eval"
CS7250,Broadband Networking Sys
CS7260,Internet Arch& Protocols
CS7270,Networked Apps&Services
CS7280,Network Science
CS7290,Adv
CS7292,Reliable Secure Comparch
CS7450,Inform Visualization
CS7455,Issues/Human-Center Comp
CS7460,Collaborative Computing
CS7465,Edu Tech-Design and Eval
CS7467,Comp Collaborative Learn
CS7470,Ubiquitous Computing
CS7476,Advanced Computer Vision
CS7490,Adv Image Synthesis
CS7491,3D Complexity
CS7492,Simulation of Biology
CS7495,Computer Vision
CS7496,Computer Animation
CS7497,Virtual Environments
CS7499,3D Reconstruction
CS7510,Graph Algorithm
CS7520,Approximation Algorithms
CS7525,Algorithmic Game Theory
CS7530,Randomized Algorithms
CS7535,Markov Chain Monte Carlo
CS7540,Spectral Algorithms
CS7545,Machine Learning Theory
CS7560,Theory of Cryptography
CS7610,Modeling and Design
CS7611,AI Problem Solving
CS7612,AI Planning
CS7613,Knowledge Systems Engr
CS7615,Knowledge Agents
CS7616,Pattern Recognition
CS7620,Case-Based Reasoning
CS7626,Behavioral Imaging
CS7630,Autonomous Robotics
CS7631,Multi-Robot Systems
CS7632,Game AI
CS7633,Human-Robot Interaction
CS7634,AI Storytell In Vir Wrld
CS7636,Computational Perception
CS7637,Knowledge-Based AI
CS7640,Learning in Auton Agents
CS7641,Machine Learning
CS7642,Reinforcement Learning
CS7643,Deep Learning
CS7645,Num Machine Learning
CS7646,Mach Learn For Trading
CS7649,Robot Intelli: Planning
CS7650,Natural Language
CS7695,Phil of Cognition
CS7697,Cognitive Model Sci&Tech
CS7785,Intro Robotics Research
CS7790,Cognitive Modeling
CS7999,Prep-Doctoral Qual Exams
CS8001,Seminar
CS8002,Seminar
CS8003,Seminar
CS8004,Seminar
CS8005,Seminar
CS8006,Seminar
CS8030,Software Engr Seminar
CS8750,Robotics Research Fnd I
CS8751,Robotics Research Fnd II
CS8795,Colloquium-Cognitive Sci
CS8801,Special Topics
CS8802,Special Topics
CS8803,Special Topics
CS8804,Special Topics
CS8805,Special Topics
CS8806,Special Topics
CS8893,Spec Top-Cognitive Sci
CS8901,Special Problems
CS8902,Special Problems
CS8903,Special Problems
CS8997,Teaching Assistantship
CS8998,Research Assistantship
CS8999,Doctoral Thesis Prep
CS9000,Doctoral Thesis
