courseCode,courseName
CS 6505,Computability&Algorithms
CS 6520,Computational Complexity
CS 6550,Design& Analy-Algorithms
CS 6601,Artificial Intelligence
CS 6670,Distrib Cntrl Algorithms
CS 6675,Advance Internet Comput
CS 6705,Applications of AI
CS 6725,Info Security Policies
CS 6726,Privacy Tech Policy Law
CS 6745,Info&Com Tech&Global Dev
CS 6750,Human-Computer Interact
CS 6753,HCI Prof Prep & Practice
CS 6754,Engr Database Mgt System
CS 6755,HCI Foundations
CS 6763,Design of Environments
CS 6764,Geometric Modeling
CS 6770,Mixed Reality Design
CS 6780,Medical Image Processing
CS 6795,Intro-Cognitive Science
CS 6998,HCI Master's Project
CS 6999,Master's Project
CS 6XXX,Computer Sci Elective
CS 7000,Master's Thesis
CS 7001,Grad Studies-Computing
CS 7110,Parallel Computer Arch
CS 7210,Distributed Computing
CS 7230,"Software Dsgn,Impl& Eval"
CS 7250,Broadband Networking Sys
CS 7260,Internet Arch& Protocols
CS 7270,Networked Apps&Services
CS 7280,Network Science
CS 7290,Adv
CS 7292,Reliable Secure Comparch
CS 7450,Inform Visualization
CS 7455,Issues/Human-Center Comp
CS 7460,Collaborative Computing
CS 7465,Edu Tech-Design and Eval
CS 7467,Comp Collaborative Learn
CS 7470,Ubiquitous Computing
CS 7476,Advanced Computer Vision
CS 7490,Adv Image Synthesis
CS 7491,3D Complexity
CS 7492,Simulation of Biology
CS 7495,Computer Vision
CS 7496,Computer Animation
CS 7497,Virtual Environments
CS 7499,3D Reconstruction
CS 7510,Graph Algorithm
CS 7520,Approximation Algorithms
CS 7525,Algorithmic Game Theory
CS 7530,Randomized Algorithms
CS 7535,Markov Chain Monte Carlo
CS 7540,Spectral Algorithms
CS 7545,Machine Learning Theory
CS 7560,Theory of Cryptography
CS 7610,Modeling and Design
CS 7611,AI Problem Solving
CS 7612,AI Planning
CS 7613,Knowledge Systems Engr
CS 7615,Knowledge Agents
CS 7616,Pattern Recognition
CS 7620,Case-Based Reasoning
CS 7626,Behavioral Imaging
CS 7630,Autonomous Robotics
CS 7631,Multi-Robot Systems
CS 7632,Game AI
CS 7633,Human-Robot Interaction
CS 7634,AI Storytell In Vir Wrld
CS 7636,Computational Perception
CS 7637,Knowledge-Based AI
CS 7640,Learning in Auton Agents
CS 7641,Machine Learning
CS 7642,Reinforcement Learning
CS 7643,Deep Learning
CS 7645,Num Machine Learning
CS 7646,Mach Learn For Trading
CS 7649,Robot Intelli: Planning
CS 7650,Natural Language
CS 7695,Phil of Cognition
CS 7697,Cognitive Model Sci&Tech
CS 7785,Intro Robotics Research
CS 7790,Cognitive Modeling
CS 7999,Prep-Doctoral Qual Exams
CS 8001,Seminar
CS 8002,Seminar
CS 8003,Seminar
CS 8004,Seminar
CS 8005,Seminar
CS 8006,Seminar
CS 8030,Software Engr Seminar
CS 8750,Robotics Research Fnd I
CS 8751,Robotics Research Fnd II
CS 8795,Colloquium-Cognitive Sci
CS 8801,Special Topics
CS 8802,Special Topics
CS 8803,Special Topics
CS 8804,Special Topics
CS 8805,Special Topics
CS 8806,Special Topics
CS 8893,Spec Top-Cognitive Sci
CS 8901,Special Problems
CS 8902,Special Problems
CS 8903,Special Problems
CS 8997,Teaching Assistantship
CS 8998,Research Assistantship
CS 8999,Doctoral Thesis Prep
CS 9000,Doctoral Thesis
